ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
04456,12620,1.000000000,1.000000000,1.000000000,1.000000000
04282,30340,1.000000000,1.000000000,1.000000000,1.000000000
04345,12300,0.999684692,1.000000000,1.000000000,0.999714163
04270,99999,0.996089584,1.000000000,1.000000000,0.996302521
04106,38860,1.000000000,1.000000000,1.000000000,1.000000000
04250,30340,1.000000000,1.000000000,1.000000000,1.000000000
04074,38860,1.000000000,1.000000000,1.000000000,1.000000000
04087,38860,1.000000000,1.000000000,1.000000000,1.000000000
04976,99999,1.000000000,1.000000000,1.000000000,1.000000000
05001,17200,1.000000000,1.000000000,1.000000000,1.000000000
05045,17200,1.000000000,1.000000000,1.000000000,1.000000000
04963,12300,1.000000000,1.000000000,1.000000000,1.000000000
05046,99999,0.995575221,1.000000000,1.000000000,0.995720399
05068,17200,1.000000000,1.000000000,1.000000000,1.000000000
05055,17200,1.000000000,1.000000000,1.000000000,1.000000000
05056,17200,1.000000000,1.000000000,1.000000000,1.000000000
05043,17200,1.000000000,1.000000000,1.000000000,1.000000000
04930,99999,0.111206897,0.013605442,0.086614173,0.104471858
04862,99999,1.000000000,1.000000000,1.000000000,1.000000000
04668,99999,1.000000000,1.000000000,1.000000000,1.000000000
04628,99999,1.000000000,1.000000000,1.000000000,1.000000000
04841,99999,1.000000000,1.000000000,1.000000000,1.000000000
04756,99999,1.000000000,1.000000000,1.000000000,1.000000000
04785,99999,1.000000000,1.000000000,1.000000000,1.000000000
04538,99999,1.000000000,1.000000000,1.000000000,1.000000000
04614,99999,1.000000000,1.000000000,1.000000000,1.000000000
05674,12740,1.000000000,1.000000000,1.000000000,1.000000000
05650,12740,1.000000000,1.000000000,1.000000000,1.000000000
05680,99999,0.985376828,1.000000000,1.000000000,0.985635359
05620,12740,1.000000000,1.000000000,1.000000000,1.000000000
05452,15540,1.000000000,1.000000000,1.000000000,1.000000000
05483,15540,1.000000000,1.000000000,1.000000000,1.000000000
05403,15540,1.000000000,1.000000000,1.000000000,1.000000000
05448,15540,1.000000000,1.000000000,1.000000000,1.000000000
05408,15540,1.000000000,1.000000000,1.000000000,1.000000000
05341,99999,1.000000000,1.000000000,1.000000000,1.000000000
05363,99999,0.930147059,0.902777778,1.000000000,0.928571429
05156,17200,0.997997597,1.000000000,1.000000000,0.998262984
05089,17200,1.000000000,1.000000000,1.000000000,1.000000000
05252,13540,1.000000000,1.000000000,1.000000000,1.000000000
05253,13540,0.935483871,0.952380952,1.000000000,0.937500000
01001,44140,1.000000000,1.000000000,1.000000000,1.000000000
05855,99999,1.000000000,1.000000000,1.000000000,1.000000000
05867,99999,1.000000000,1.000000000,0.000000000,1.000000000
05847,99999,1.000000000,1.000000000,1.000000000,1.000000000
05871,99999,1.000000000,1.000000000,1.000000000,1.000000000
05747,99999,1.000000000,1.000000000,0.000000000,1.000000000
05774,40860,1.000000000,1.000000000,1.000000000,1.000000000
05751,40860,1.000000000,1.000000000,1.000000000,1.000000000
